category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Genetic Information Processing	Translation	hsa03013	Nucleocytoplasmic transport	69/3703	108/9500	0.6388888888888888	1.6390614216701174	5.3381354166533965	1.2481934360525316e-7	3.948830143148009e-6	2.0186094803146208e-6	3836/3842/5903/7514/10527/4928/10526/9972/64328/9631/3840/4686/57187/3839/23279/23633/9818/3837/7175/51068/10762/51194/55161/23165/11260/25909/55705/53371/26019/23534/51808/55746/59343/9883/10250/8021/23039/3843/55706/23511/1434/57122/2733/57510/81929/55916/23214/129401/11097/348995/100101267/4927/22916/5411/79023/3841/22794/3838/23225/5901/9688/6612/8480/1915/7919/387082/64901/392517/402569	69
Cellular Processes	Cellular community - eukaryotes	hsa04520	Adherens junction	61/3703	93/9500	0.6559139784946236	1.6827390752630096	5.287919212866685	1.6736406657390423e-7	4.8535579306432225e-6	2.481098881665773e-6	6093/8826/5908/2033/5594/9855/9475/2241/1387/8976/7414/7082/64750/998/1499/1457/11235/5906/1495/283106/6885/117178/7525/57493/1459/7046/10163/9411/57154/387/5795/4089/51701/3643/5770/4301/7048/5792/4008/5787/56288/5797/999/52/25945/4088/10580/87/8936/1003/6934/5818/10810/3480/29119/1956/6591/51176/2260/2064/4233	61
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	65/3703	101/9500	0.6435643564356436	1.6510562749496662	5.2571762930373955	1.9334264455047048e-7	5.175633869504902e-6	2.64574145174328e-6	5290/1432/5594/5291/3845/4087/836/1729/998/6774/5599/5601/4790/7046/6772/4893/4089/1536/3717/2335/7048/8503/1282/7412/5295/5581/2308/5335/6777/4088/5603/1019/207/50507/23236/10000/5578/3553/3383/5332/5580/1281/7422/5579/1027/1286/3552/7042/51196/596/1278/595/6401/3576/7056/5054/6347/84812/1287/2152/5602/1285/7124/185/1288	65
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	92/3703	157/9500	0.5859872611464968	1.503342960003165	5.0825867529126825	4.243646841129798e-7	1.0548493576522642e-5	5.392303128954404e-6	1385/23355/4775/1432/5781/488/9392/5594/6868/27072/102/196527/405/3685/5868/55754/836/23411/51552/1399/19/24145/5747/1398/286410/5604/5869/23339/23200/3988/7879/3091/8754/7057/3717/818/840/1793/1374/10461/23250/55823/80824/5087/961/558/4773/84868/1788/817/5603/5734/3690/51454/6446/5175/9844/161291/4035/10396/140885/26762/6566/3586/384/84466/89790/10326/5627/4953/240/5732/6513/5029/121601/51761/1847/1901/64805/1524/100133941/91937/203859/489/63982/389668/246/948/1846/5743/343702/55423	92
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	57/3703	89/9500	0.6404494382022472	1.6430649913371183	4.871314097888123	1.3725234644009778e-6	3.0507264968467755e-5	1.5595062854419388e-5	3688/3685/3676/1605/3672/3915/7057/2335/7058/3673/961/3339/1282/3910/3161/3655/3912/2814/3690/1293/8516/3678/3680/960/3908/22801/3695/284217/1286/80144/131873/6696/7450/3696/1278/3909/3694/2811/256076/7143/3371/3381/341640/255743/9899/1287/1299/158326/1285/948/22987/5649/1758/7060/56955/3918/1288	57
Cellular Processes	Transport and catabolism	hsa04144	Endocytosis	135/3703	252/9500	0.5357142857142857	1.3743682728289803	4.813816656648574	1.40263287211346e-6	3.0507264968467755e-5	1.5595062854419388e-5	83737/8411/23527/9101/10097/3799/23325/9815/2060/9525/8027/10565/9765/7189/10015/8729/10564/55737/8723/64145/10254/3482/58533/22841/829/868/5868/50807/1213/51100/867/10890/60682/4087/6643/10096/55680/9897/5584/57403/9559/830/8853/25978/10193/51652/8976/51534/64750/998/4734/10617/9372/5869/7037/116987/8394/7879/3312/7046/4218/378/9922/9798/382/137492/147179/57154/163/387/377/4193/253725/116984/8766/51028/30844/29934/9135/57132/11059/1601/22905/157/80223/387680/7251/11311/7048/27131/51324/653857/26286/51510/7456/10109/11031/3949/23111/64744/6642/56288/5337/30845/4088/8724/9829/23362/30011/23096/3305/89853/1234/26052/3579/408/23327/5156/9265/3559/3560/84612/92421/84440/3480/8395/1956/8218/3800/7852/273/3798/2263/55040/3577	135
Human Diseases	Neurodegenerative disease	hsa05017	Spinocerebellar ataxia	84/3703	144/9500	0.5833333333333334	1.4965343415248897	4.7984345989248824	1.733619850297394e-6	3.548821811197018e-5	1.8141285120759103e-5	5290/30849/4976/23369/342371/6667/488/5291/55102/9698/2475/5707/3516/9821/4800/5289/6311/90550/5700/10939/5599/5601/22863/55626/5713/2776/5718/5706/6310/6095/29982/10213/3710/5701/9776/4287/9861/8678/2081/5717/5708/115209/2959/3708/4217/11273/8503/6908/7416/3709/5295/55062/25814/116443/5684/9706/7417/5687/10524/7436/2911/9519/54205/5683/292/207/23236/10000/5578/5332/5579/2892/7419/7222/7494/3752/489/2903/6712/5602/1600/5649/2904/2891	84
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	116/3703	212/9500	0.5471698113207547	1.4037572799209208	4.751616072798817	1.9650163955154163e-6	3.757950961839226e-5	1.9210336132813953e-5	5290/1432/5908/3688/5594/5291/9693/9855/3845/2773/5584/1399/5894/998/1499/9732/673/7094/5906/1398/5604/5898/9771/2321/113/801/2776/2889/4893/55740/260425/387/23683/7057/3791/5899/26037/3643/2533/25780/4301/285/51735/23094/8503/56034/109/5295/112/3937/2149/57568/56288/5028/4254/83660/5335/9223/999/115/2846/3684/7074/284/11069/7010/5603/3690/7410/1902/163688/207/5587/57121/3082/5608/54518/5159/80310/83593/23236/10000/5578/5332/5156/1436/7422/5579/10451/84612/2357/22808/3480/51196/3683/5217/1956/2770/2252/9863/2246/1950/2247/8822/2260/2250/2903/4233/3815/2263/136/1268/2904/107/23566/2255	116
Human Diseases	Drug resistance: antineoplastic	hsa01521	EGFR tyrosine kinase inhibitor resistance	52/3703	80/9500	0.65	1.6675668376991628	4.792128401609176	2.051754835486934e-6	3.757950961839226e-5	1.9210336132813953e-5	5290/2932/6654/5594/5291/6655/2475/4763/1977/3845/3716/5894/2309/673/6774/2549/10018/5604/6198/4893/5728/3791/3717/6464/2885/8503/56034/558/5295/5335/3570/207/3082/5159/80310/10000/5578/5156/7422/5579/3480/596/1956/2065/7039/53358/1950/2247/2064/4233/2263/3084	52
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	86/3703	149/9500	0.5771812080536913	1.4807511413745795	4.727141248717905	2.404706573010182e-6	4.184189437037716e-5	2.1389232149406352e-5	5290/5781/10672/6654/5594/5291/6655/2475/3845/5894/2549/7248/5604/5898/8394/113/4893/382/387/5899/3643/5294/160851/56894/2768/6464/2885/8503/56034/552/109/5295/112/2149/55326/4254/5335/5337/10554/8613/115/23533/2846/6850/11069/2918/2911/1902/8526/207/9162/57121/2915/1608/5159/80310/26052/23236/3579/10000/5578/8527/22800/5332/9846/5156/9265/2207/22808/8395/1956/2912/5321/53358/3576/2206/1950/1607/3815/3577/5737/283748/185/255189/107/23566	86
