query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,1.0260724930474531e-5,297,2183,61,0.027943197434722858,0.2053872053872054,GO:0051321,GO:BP,meiotic cell cycle,21026,13466,
query_1,TRUE,1.050716181887407e-5,179,2788,50,0.017934002869440458,0.27932960893854747,GO:0046777,GO:BP,protein autophosphorylation,21026,12198,
query_1,TRUE,1.0809938592356859e-5,3597,4071,809,0.19872267256202408,0.22490964692799556,GO:0009893,GO:BP,positive regulation of metabolic process,21026,3738,
query_1,TRUE,1.1695523113265959e-5,48,3898,25,0.006413545407901488,0.5208333333333334,GO:1901976,GO:BP,regulation of cell cycle checkpoint,21026,21623,
query_1,TRUE,1.2820570813049747e-5,831,2681,157,0.05856023871689668,0.18892900120336945,GO:0022603,GO:BP,regulation of anatomical structure morphogenesis,21026,6578,
query_1,TRUE,1.3293710737323827e-5,138,2630,40,0.015209125475285171,0.2898550724637681,GO:0031109,GO:BP,microtubule polymerization or depolymerization,21026,6997,
query_1,TRUE,1.3618457260352762e-5,74,2172,24,0.011049723756906077,0.32432432432432434,GO:0044774,GO:BP,mitotic DNA integrity checkpoint signaling,21026,11003,
query_1,TRUE,1.4262589964278478e-5,257,4532,91,0.020079435127978818,0.3540856031128405,GO:0032984,GO:BP,protein-containing complex disassembly,21026,7907,
query_1,TRUE,1.5338886973869207e-5,645,4175,181,0.043353293413173656,0.2806201550387597,GO:1901699,GO:BP,cellular response to nitrogen compound,21026,21370,
query_1,TRUE,1.5376593660779386e-5,114,3960,45,0.011363636363636364,0.39473684210526316,GO:1901989,GO:BP,positive regulation of cell cycle phase transition,21026,21634,
query_1,TRUE,1.578402418553109e-5,266,2311,58,0.025097360450021637,0.21804511278195488,GO:0032886,GO:BP,regulation of microtubule-based process,21026,7825,
query_1,TRUE,1.615166638498027e-5,318,3830,95,0.024804177545691905,0.29874213836477986,GO:0034504,GO:BP,protein localization to nucleus,21026,8606,
query_1,TRUE,1.739470816659793e-5,113,4752,50,0.010521885521885523,0.4424778761061947,GO:0006892,GO:BP,post-Golgi vesicle-mediated transport,21026,2536,
query_1,TRUE,1.7890486149933298e-5,171,5562,76,0.013664149586479683,0.4444444444444444,GO:0051170,GO:BP,import into nucleus,21026,13373,
query_1,TRUE,1.8167684149032084e-5,312,4777,110,0.023027004396064477,0.3525641025641026,GO:0048193,GO:BP,Golgi vesicle transport,21026,12403,
query_1,TRUE,1.89974797462272e-5,32,1627,13,0.007990165949600492,0.40625,GO:1905820,GO:BP,positive regulation of chromosome separation,21026,24502,
query_1,TRUE,1.9696003394627396e-5,202,4111,70,0.017027487229384578,0.3465346534653465,GO:0043087,GO:BP,regulation of GTPase activity,21026,10425,
query_1,TRUE,2.0170821621195e-5,2036,3623,434,0.11979022909191278,0.2131630648330059,GO:0045935,GO:BP,positive regulation of nucleobase-containing compound metabolic process,21026,11567,
