ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0032606	type I interferon production	2/10	128/18986	0.015625	29.665625	7.470016295444813	0.0019588569269961675	0.033249018892434944	0.017418090680492236	DDX3X/SETD2	2
GO:0048706	embryonic skeletal system development	2/10	134/18986	0.014925373134328358	28.33731343283582	7.29008313021241	0.0021439414614132747	0.0338996645356353	0.017758942988068432	NIPBL/SETD2	2
GO:0051028	mRNA transport	2/10	135/18986	0.014814814814814815	28.127407407407407	7.261242522089664	0.00217556948507416	0.0338996645356353	0.017758942988068432	SETD2/XPO1	2
GO:1903322	positive regulation of protein modification by small protein conjugation or removal	2/10	135/18986	0.014814814814814815	28.127407407407407	7.261242522089664	0.00217556948507416	0.0338996645356353	0.017758942988068432	DDX3X/HUWE1	2
GO:1901875	positive regulation of post-translational protein modification	2/10	136/18986	0.014705882352941176	27.920588235294115	7.232713913518891	0.0022074200162739265	0.0338996645356353	0.017758942988068432	DDX3X/HUWE1	2
GO:0018205	peptidyl-lysine modification	2/10	143/18986	0.013986013986013986	26.553846153846155	7.041290064761899	0.002436587556565766	0.03654881334848649	0.01914674677252414	EP300/SETD2	2
GO:0033157	regulation of intracellular protein transport	2/10	151/18986	0.013245033112582781	25.147019867549666	6.8386781622778186	0.0027117463638143867	0.03851954769086673	0.020179151054701302	EP300/XPO1	2
GO:0001890	placenta development	2/10	152/18986	0.013157894736842105	24.98157894736842	6.814456906666894	0.002747130532992046	0.03851954769086673	0.020179151054701302	BPTF/SETD2	2
GO:0031333	negative regulation of protein-containing complex assembly	2/10	152/18986	0.013157894736842105	24.98157894736842	6.814456906666894	0.002747130532992046	0.03851954769086673	0.020179151054701302	EP300/DDX3X	2
GO:0035264	multicellular organism growth	2/10	158/18986	0.012658227848101266	24.03291139240506	6.673877800738416	0.0029640320412605693	0.040676609927937604	0.021309166522836345	EP300/NIPBL	2
GO:0050657	nucleic acid transport	2/10	164/18986	0.012195121951219513	23.153658536585365	6.540899282187714	0.00318878314381792	0.041787011668453104	0.02189087024981387	SETD2/XPO1	2
GO:0050658	RNA transport	2/10	164/18986	0.012195121951219513	23.153658536585365	6.540899282187714	0.00318878314381792	0.041787011668453104	0.02189087024981387	SETD2/XPO1	2
GO:0010508	positive regulation of autophagy	2/10	166/18986	0.012048192771084338	22.874698795180723	6.498143250499972	0.0032654373421247803	0.041787011668453104	0.02189087024981387	SETD2/HUWE1	2
GO:0051236	establishment of RNA localization	2/10	167/18986	0.011976047904191617	22.737724550898204	6.477046435719586	0.0033040892947148967	0.041787011668453104	0.02189087024981387	SETD2/XPO1	2
GO:0051168	nuclear export	2/10	173/18986	0.011560693641618497	21.949132947976878	6.354231623454425	0.003540536876318635	0.04391627471587537	0.023006322617374127	SETD2/XPO1	2
GO:0071478	cellular response to radiation	2/10	185/18986	0.010810810810810811	20.525405405405404	6.12630217561657	0.004036628563193166	0.04912500798603004	0.02573501030357511	EP300/NIPBL	2
