STRING_id	gene	degree	betweenness
9606.ENSP00000025301	AKAP11	6	33.02543193521454
9606.ENSP00000261745	NAA25	6	37.18134223752768
9606.ENSP00000241502	FYTTD1	6	34.98155376534681
9606.ENSP00000301180	DIP2B	6	11.580809655074365
9606.ENSP00000334642	PDZD8	6	24.662126871523157
9606.ENSP00000262879	RALGAPB	6	61.953915957370775
9606.ENSP00000354649	MAGT1	6	67.23027273279362
9606.ENSP00000358590	ZNF292	6	29.791446930262733
9606.ENSP00000347464	GIT2	6	25.68157341434459
9606.ENSP00000296543	NAA15	6	52.128202659960486
9606.ENSP00000348959	MAN1A2	6	69.82634023721455
9606.ENSP00000377700	TBC1D23	6	35.925881890308546
9606.ENSP00000351832	RAB3GAP2	6	143.7512894589593
9606.ENSP00000420617	MFN1	6	18.11178443705953
9606.ENSP00000437968	HEATR5A	6	28.037608508588853
9606.ENSP00000451211	NEDD1	6	20.20950157497338
9606.ENSP00000453872	RNF111	6	5.473288996036034
9606.ENSP00000186436	TMEM131	4	128.82870585334013
9606.ENSP00000254442	WDR7	4	15.713070263070263
9606.ENSP00000233055	WDFY1	4	11.082545172078104
9606.ENSP00000308753	TMOD3	4	261
9606.ENSP00000335371	TRAPPC11	4	0
9606.ENSP00000311827	MSL2	4	0
9606.ENSP00000354251	NCKAP1	4	58.76405079698425
9606.ENSP00000359130	SLC30A7	4	261
9606.ENSP00000326200	ZBTB11	4	10.273385912631914
9606.ENSP00000351686	PRDM10	4	0
9606.ENSP00000295628	LRRC58	4	8.366103135994441
9606.ENSP00000359356	EVI5	4	38.589143579625976
9606.ENSP00000356416	RO60	4	2.7976513682396034
9606.ENSP00000272748	LNPK	4	261
9606.ENSP00000339030	ZFP91	4	0
9606.ENSP00000371905	ZDHHC20	4	0.9140173404791254
9606.ENSP00000305721	IBTK	4	3.411216319911972
9606.ENSP00000314153	ZBTB33	4	0
9606.ENSP00000319974	BBX	4	4.391781986471922
9606.ENSP00000324287	ACAP2	4	31.763188063102277
9606.ENSP00000339208	DPP8	4	261
9606.ENSP00000353863	ZNF148	4	2.5742716698169996
9606.ENSP00000361857	RLF	4	172.78456831839193
9606.ENSP00000362127	MTF1	4	520
9606.ENSP00000369217	ARIH1	4	1.198448611402332
9606.ENSP00000390158	HERC1	4	4.171179005315079
9606.ENSP00000420333	ARMC8	4	260.99999999999994
9606.ENSP00000426387	ZBTB38	4	3.3326119640240544
9606.ENSP00000484855	EXOC5	4	5.650600747958492
9606.ENSP00000206595	G2E3	2	0
9606.ENSP00000265986	IDE	2	0
9606.ENSP00000262919	ATRN	2	0
9606.ENSP00000298492	ABRAXAS2	2	0
9606.ENSP00000335615	BTBD7	2	0
9606.ENSP00000361557	RBM41	2	0
9606.ENSP00000296564	ICE1	2	0
9606.ENSP00000278612	NPAT	2	0
9606.ENSP00000294353	ZYG11B	2	0
9606.ENSP00000296582	TMEM184C	2	0
9606.ENSP00000323527	MKLN1	2	0
9606.ENSP00000341324	SRFBP1	2	0
9606.ENSP00000299575	ATMIN	2	0
9606.ENSP00000312141	ZNF654	2	0
9606.ENSP00000360184	TM9SF3	2	0
9606.ENSP00000315713	SSH1	2	0
9606.ENSP00000358293	CCDC186	2	0
9606.ENSP00000362763	ZBTB6	2	0
9606.ENSP00000368648	SLC30A6	2	0
9606.ENSP00000381666	GXYLT1	2	0
9606.ENSP00000391167	DENND4A	2	0
9606.ENSP00000404704	VPS8	2	0
9606.ENSP00000410734	ZNF562	2	0
9606.ENSP00000415822	ATXN1L	2	0
9606.ENSP00000440045	ATP2A2	2	0
9606.ENSP00000453281	RFX7	2	0
9606.ENSP00000473565	DENND4C	2	0
