logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl_id	ensembl_clean
1.4404175058712403	9.567890365080835	9.761172771551449	6.483773155550398e-19	5.134538898377117e-18	31.851694866737976	ENSG00000010704.18	ENSG00000010704
1.311380193479105	1.6992341780494271	9.759411813490392	6.5626707372227315e-19	5.1963399937335975e-18	31.839695905165076	ENSG00000287502.1	ENSG00000287502
1.1681709969281022	1.457127604330996	9.758004094547063	6.626427929090416e-19	5.2461383213080735e-18	31.830104483610587	ENSG00000232702.3	ENSG00000232702
1.307645403486705	5.873107658799093	9.757120846252436	6.666745335593094e-19	5.276680219951423e-18	31.824086793075825	ENSG00000109927.11	ENSG00000109927
1.4515072912470428	1.2520902444888709	9.75600380475414	6.718084149607274e-19	5.3154289674899566e-18	31.816476543545686	ENSG00000227083.1	ENSG00000227083
1.665169232770259	2.2037363955181433	9.755678053203884	6.733129475155077e-19	5.326442800768218e-18	31.814257307546303	ENSG00000270614.1	ENSG00000270614
1.533429425422984	5.88871718575522	9.755120806409083	6.75894448082866e-19	5.346167325688703e-18	31.81046103950646	ENSG00000235092.6	ENSG00000235092
1.9203233006609128	9.41452913042042	9.75489381065952	6.769488472826026e-19	5.353809266774795e-18	31.808914645463545	ENSG00000172986.13	ENSG00000172986
1.257774446102677	0.8921689150164246	9.754528311753614	6.786500343047736e-19	5.366563822308377e-18	31.806424737176005	ENSG00000211701.2	ENSG00000211701
1.0149126680565677	6.471226235320315	9.7534300919984	6.837872349791814e-19	5.4064824913760614e-18	31.798943494570775	ENSG00000227252.2	ENSG00000227252
1.9677652815205715	4.725537019977303	9.753362324402728	6.841054987671624e-19	5.4082939600177334e-18	31.798481862067096	ENSG00000285799.1	ENSG00000285799
1.6275194480073707	11.287527312857325	9.752862379761314	6.864579955561772e-19	5.4261847811360054e-18	31.795076280702727	ENSG00000182107.7	ENSG00000182107
1.043313983663153	12.999003597385643	9.752698850733704	6.872292284260425e-19	5.431573289423288e-18	31.79396234941977	ENSG00000180817.12	ENSG00000180817
1.508151677668024	2.1663737134499916	9.752127678540472	6.899297479470389e-19	5.452206684531968e-18	31.7900716813326	ENSG00000251079.6	ENSG00000251079
1.7384210234950566	9.646059730559909	9.7511689550274685	6.944863642096875e-19	5.4875006972723255e-18	31.783541321162087	ENSG00000182568.17	ENSG00000182568
1.5951407696003137	3.204931683566244	9.748082813884196	7.093583478080957e-19	5.6042820237091804e-18	31.76252173443987	ENSG00000228915.3	ENSG00000228915
1.4513614982674694	4.919334611984102	9.74254129718098	7.368619157466743e-19	5.8185425422016745e-18	31.724785243059696	ENSG00000272145.1	ENSG00000272145
1.490217834506818	8.591290109594267	9.741971488713313	7.397494145858877e-19	5.840583039018605e-18	31.720905453013227	ENSG00000178075.20	ENSG00000178075
1.8645629010169449	6.47579602068193	9.741472476218124	7.422873953776493e-19	5.859858589745991e-18	31.717507781610575	ENSG00000206052.11	ENSG00000206052
1.5128170202560007	10.276279993912272	9.741377507836006	7.427713849980639e-19	5.862916358358171e-18	31.716861169573168	ENSG00000167081.18	ENSG00000167081
2.0917320329279163	8.748963964268743	9.740750420496976	7.4597511168424e-19	5.887438235072338e-18	31.712591576888354	ENSG00000218336.9	ENSG00000218336
1.9344629346170097	5.073374509062854	9.740259217241672	7.484942141074198e-19	5.9065511939321034e-18	31.70924724137392	ENSG00000135914.6	ENSG00000135914
1.2545554569953157	1.1240548584106715	9.73628327356272	7.69198379316544e-19	6.068353971822285e-18	31.68217964918696	ENSG00000260693.1	ENSG00000260693
1.9075332991498064	9.224874819389772	9.73604037164724	7.704815564457579e-19	6.0776867638491114e-18	31.680526152625628	ENSG00000198948.12	ENSG00000198948
1.1775495715922233	11.165294832195402	9.73599357675341	7.70729004095969e-19	6.07884818469139e-18	31.680207609470127	ENSG00000198863.7	ENSG00000198863
1.0478851466390062	0.8649405279042953	9.734948402867248	7.762764398584626e-19	6.1216767101364855e-18	31.673093037646897	ENSG00000207956.1	ENSG00000207956
1.8728246182597057	6.223923420993374	9.734932526629487	7.763610110629736e-19	6.1216767101364855e-18	31.672984969304903	ENSG00000234648.1	ENSG00000234648
1.999097170267926	10.512753029618487	9.732337355781295	7.903091103016145e-19	6.230039068342552e-18	31.655320772426297	ENSG00000172403.11	ENSG00000172403
1.5519906990637735	9.001112060266362	9.730591019341992	7.9983500560976085e-19	6.303493756046264e-18	31.643435266385985	ENSG00000146267.12	ENSG00000146267
1.8617894655622012	9.872045038983568	9.729580511204258	8.053991699422069e-19	6.346520349271794e-18	31.636558166740475	ENSG00000104177.18	ENSG00000104177
1.05779424126944	0.8728216942639416	9.729501794368	8.0583422118174625e-19	6.3491237637205775e-18	31.63602246439856	ENSG00000251201.8	ENSG00000251201
1.0180534883940102	10.377691425724702	9.727435050385804	8.173406631581113e-19	6.438109937303081e-18	31.621957983594672	ENSG00000106617.15	ENSG00000106617
1.391319506768083	1.503151250287899	9.726878618552782	8.204663717153305e-19	6.461891730492333e-18	31.618171588873818	ENSG00000234065.2	ENSG00000234065
1.3675124818673672	2.009269562091917	9.72561366974224	8.276164082384636e-19	6.516512373279491e-18	31.609564211975528	ENSG00000233994.2	ENSG00000233994
1.4786718240026075	4.200182397150284	9.724808365825952	8.322005763052832e-19	6.5517569057337406e-18	31.60408473087863	ENSG00000261366.1	ENSG00000261366
1.4216702970649455	1.390620561332773	9.724068939251069	8.3643197038112725e-19	6.584215328746326e-18	31.599053652797547	ENSG00000182631.7	ENSG00000182631
1.5816275468302845	6.9549656574051335	9.722547041101906	8.452085325786473e-19	6.652439287170202e-18	31.58869909283353	ENSG00000115604.11	ENSG00000115604
1.3091980404087626	3.3970928321114053	9.721563825827626	8.509272171620502e-19	6.6965808242150964e-18	31.58200991759473	ENSG00000224452.1	ENSG00000224452
1.2934513553579228	5.341038826666737	9.721333190828515	8.522742230428774e-19	6.7063113723934294e-18	31.5804408615483	ENSG00000207561.1	ENSG00000207561
1.35563700326563	12.347848306584384	9.721293741963684	8.525048333377968e-19	6.707050934321905e-18	31.580172484500725	ENSG00000164574.16	ENSG00000164574
1.225370191330802	10.145138722957851	9.721279287565922	8.525893464318533e-19	6.707050934321905e-18	31.580074148988107	ENSG00000119862.13	ENSG00000119862
1.5990082411400748	8.31024565017765	9.719776364215374	8.614223750112262e-19	6.775658878135502e-18	31.56984984341221	ENSG00000164691.18	ENSG00000164691
1.0839337777655211	0.7829648434675519	9.719658594201317	8.6211836898424535e-19	6.7802541504711934e-18	31.56904868682972	ENSG00000207248.1	ENSG00000207248
1.5688462567308503	10.474252496926033	9.719611137427403	8.623989857452393e-19	6.781581860941951e-18	31.568725852707946	ENSG00000171444.18	ENSG00000171444
2.076345825492778	6.190342289905037	9.718662981691716	8.680246009334814e-19	6.8249348402624726e-18	31.56227596576478	ENSG00000081853.15	ENSG00000081853
-1.3726127054561734	9.898489469470912	-9.716870138845138	8.787618476963674e-19	6.908462115249046e-18	31.55008072352076	ENSG00000006015.18	ENSG00000006015
1.010257148581749	4.595945696945734	9.71651095768182	8.809287927358929e-19	6.9246003067719655e-18	31.54763761509348	ENSG00000257950.3	ENSG00000257950
1.424657688490014	3.5134503707076457	9.713018016377776	9.022807992355747e-19	7.089683067568649e-18	31.523880898796772	ENSG00000234492.4	ENSG00000234492
1.4730339957303389	2.6910572033974094	9.712373873159692	9.06274213262745e-19	7.120139072208017e-18	31.51950022456249	ENSG00000237804.1	ENSG00000237804
1.381023124872919	7.332324494503495	9.709814879297364	9.223132281592326e-19	7.245211139619145e-18	31.502098214980105	ENSG00000177640.16	ENSG00000177640
1.5324871748155604	2.5271000882325403	9.708112577807777	9.331387575442382e-19	7.329301700457528e-18	31.490523004717037	ENSG00000279162.1	ENSG00000279162
1.422952141803336	2.3611974090209293	9.70691490414969	9.408308051398123e-19	7.388761864290655e-18	31.482379615322863	ENSG00000257243.1	ENSG00000257243
1.393027531047178	1.869182571966997	9.705836155432532	9.478130086875388e-19	7.440706238771335e-18	31.475045177859055	ENSG00000237641.1	ENSG00000237641
1.1326613791054672	8.950270832192421	9.705064234041757	9.528408734082988e-19	7.479209029625699e-18	31.469797064865343	ENSG00000184988.8	ENSG00000184988
2.108531224894821	4.417247578229145	9.704112369580209	9.590773138957459e-19	7.527187198979939e-18	31.46332578893887	ENSG00000278811.4	ENSG00000278811
1.2413278637169751	5.449773998760329	9.703528590245652	9.629221897719224e-19	7.5544309404507e-18	31.459357074117808	ENSG00000286535.1	ENSG00000286535
